episode 100	loss 14.108515	 episode reward -21.0	 number of down act 0.5655220742817099	 game_len 1427	
episode 101	loss 11.139128	 episode reward -20.0	 number of down act 0.5599104143337066	 game_len 1786	
episode 102	loss 5.9535475	 episode reward -20.0	 number of down act 0.5566939890710383	 game_len 1464	
episode 103	loss 14.16503	 episode reward -20.0	 number of down act 0.5550737207285342	 game_len 1153	
episode 104	loss 5.642967	 episode reward -20.0	 number of down act 0.5812080536912752	 game_len 1490	
episode 105	loss 16.888334	 episode reward -21.0	 number of down act 0.575062034739454	 game_len 1612	
episode 106	loss 6.330768	 episode reward -21.0	 number of down act 0.5590717299578059	 game_len 1896	
episode 107	loss 3.4994206	 episode reward -21.0	 number of down act 0.5474452554744526	 game_len 1644	
episode 108	loss 16.87364	 episode reward -19.0	 number of down act 0.5524006195147134	 game_len 1937	
episode 109	loss 8.629892	 episode reward -21.0	 number of down act 0.5432185523541813	 game_len 1423	
episode 110	loss 6.718763	 episode reward -21.0	 number of down act 0.5700132100396301	 game_len 1514	
episode 111	loss 9.978473	 episode reward -20.0	 number of down act 0.5369955156950673	 game_len 1784	
episode 112	loss 15.373594	 episode reward -21.0	 number of down act 0.5402504472271914	 game_len 1677	
episode 113	loss 10.112386	 episode reward -21.0	 number of down act 0.5556390977443609	 game_len 1330	
episode 114	loss 14.677026	 episode reward -21.0	 number of down act 0.5507246376811594	 game_len 1587	
episode 115	loss 16.792477	 episode reward -21.0	 number of down act 0.5643122676579926	 game_len 1345	
episode 116	loss 9.368161	 episode reward -21.0	 number of down act 0.6040644709180099	 game_len 1427	
episode 117	loss 17.344337	 episode reward -21.0	 number of down act 0.593996840442338	 game_len 1266	
episode 118	loss 2.5102842	 episode reward -20.0	 number of down act 0.5864285714285714	 game_len 1400	
episode 119	loss 18.232998	 episode reward -21.0	 number of down act 0.6157365050320219	 game_len 1093	
episode 120	loss 4.40528	 episode reward -21.0	 number of down act 0.6338141025641025	 game_len 1248	
episode 121	loss 15.252198	 episode reward -21.0	 number of down act 0.6323763955342903	 game_len 1254	
episode 122	loss 8.379466	 episode reward -21.0	 number of down act 0.6087301587301587	 game_len 1260	
episode 123	loss 22.093212	 episode reward -21.0	 number of down act 0.6186868686868687	 game_len 1188	
episode 124	loss 16.190294	 episode reward -21.0	 number of down act 0.63710407239819	 game_len 1105	
episode 125	loss -12.7217045	 episode reward -20.0	 number of down act 0.6653875671527245	 game_len 1303	
episode 126	loss -11.688104	 episode reward -21.0	 number of down act 0.6123907863383637	 game_len 1259	
episode 127	loss 13.764248	 episode reward -21.0	 number of down act 0.5811764705882353	 game_len 1275	
episode 128	loss 11.412945	 episode reward -21.0	 number of down act 0.5905233380480905	 game_len 1414	
episode 129	loss -2.4616437	 episode reward -21.0	 number of down act 0.5967741935483871	 game_len 1178	
episode 130	loss 14.946167	 episode reward -21.0	 number of down act 0.5914861837191935	 game_len 1339	
episode 131	loss 9.066885	 episode reward -21.0	 number of down act 0.5867507886435331	 game_len 1268	
episode 132	loss 3.437439	 episode reward -21.0	 number of down act 0.5899082568807339	 game_len 1090	
episode 133	loss 19.008343	 episode reward -21.0	 number of down act 0.6322049405306496	 game_len 1093	
episode 134	loss 6.0732675	 episode reward -21.0	 number of down act 0.6047058823529412	 game_len 1275	
episode 135	loss 13.6498375	 episode reward -21.0	 number of down act 0.6172752808988764	 game_len 1424	
episode 136	loss 19.349463	 episode reward -21.0	 number of down act 0.6304713804713805	 game_len 1188	
episode 137	loss 7.824128	 episode reward -21.0	 number of down act 0.6242038216560509	 game_len 1099	
episode 138	loss -6.7060947	 episode reward -20.0	 number of down act 0.6446617766911166	 game_len 1227	
episode 139	loss 10.780266	 episode reward -21.0	 number of down act 0.6257408975444538	 game_len 1181	
episode 140	loss 18.321157	 episode reward -21.0	 number of down act 0.6507136859781696	 game_len 1191	
episode 141	loss 11.262302	 episode reward -21.0	 number of down act 0.6512820512820513	 game_len 1170	
episode 142	loss 9.383938	 episode reward -21.0	 number of down act 0.6516949152542373	 game_len 1180	
episode 143	loss 6.2396674	 episode reward -21.0	 number of down act 0.6317859952793077	 game_len 1271	
episode 144	loss 12.480709	 episode reward -21.0	 number of down act 0.6639526276831976	 game_len 1351	
